state,month,enroll,year,eligible_pop,takeup,elig2018,takeup_static,ncsl_year,dem_house_seats,total_house_seats,dem_share_house,dem_senate_seats,total_senate_seats,dem_share_sen,dem_margin,dem_control,sen_margin,gov_dem,mood,expanded,expansion_date,post_expansion,covid,year_f,restrictive_waiver
Texas,2015-01-01,4699323.0,2015,6430747.0,73.07584950861852,6299251,74.60129783683807,2015,50.0,150.0,0.3333333333333333,11.0,31.0,0.3548387096774194,-0.16666666666666669,0.0,-0.14516129032258063,0.0,0.425125,0,,0.0,0.0,2015,0.0
Utah,2015-01-01,301688.0,2015,514829.0,58.59965153478145,456764,66.04898809888695,2015,12.0,75.0,0.16,5.0,29.0,0.1724137931034483,-0.33999999999999997,0.0,-0.3275862068965517,0.0,0.2625416666666667,1,2020-01-01,0.0,0.0,2015,0.0
Vermont,2015-01-01,179862.0,2015,103628.0,173.5650596363917,96287,186.797802403232,2015,85.0,150.0,0.5666666666666667,21.0,30.0,0.7,0.06666666666666665,1.0,0.19999999999999996,1.0,0.6100416666666667,1,2014-01-01,1.0,0.0,2015,0.0
Virginia,2015-01-01,959186.0,2015,1360406.0,70.50733384004481,1298806,73.85136810270356,2015,32.0,100.0,0.32,19.0,40.0,0.475,-0.18,0.0,-0.025000000000000022,1.0,0.50325,1,2019-01-01,0.0,0.0,2015,0.0
Washington,2015-01-01,1645727.0,2015,1276757.0,128.8989995747037,1136840,144.7632912283171,2015,51.0,98.0,0.5204081632653061,24.0,49.0,0.4897959183673469,0.020408163265306145,1.0,-0.010204081632653073,1.0,0.5535416666666667,1,2014-01-01,1.0,0.0,2015,0.0
West Virginia,2015-01-01,524569.0,2015,469401.0,111.75285097390078,462592,113.39776736303264,2015,36.0,100.0,0.36,16.0,34.0,0.47058823529411764,-0.14,0.0,-0.02941176470588236,1.0,0.306625,1,2014-01-01,1.0,0.0,2015,0.0
Wisconsin,2015-01-01,1042496.0,2015,1021129.0,102.09248782475085,951649,109.54627178718204,2015,36.0,99.0,0.36363636363636365,14.0,33.0,0.42424242424242425,-0.13636363636363635,0.0,-0.07575757575757575,0.0,0.494875,0,,0.0,0.0,2015,0.0
Wyoming,2015-01-01,68577.0,2015,97303.0,70.47778588532728,93266,73.52840263332833,2015,9.0,60.0,0.15,4.0,30.0,0.13333333333333333,-0.35,0.0,-0.3666666666666667,0.0,0.24758333333333335,0,,0.0,0.0,2015,0.0
Alabama,2015-02-01,835370.0,2015,1249458.25,66.85857650705816,1174119,71.14866551005477,2015,33.0,105.0,0.3142857142857143,8.0,35.0,0.22857142857142856,-0.18571428571428572,0.0,-0.27142857142857146,0.0,0.35950000000000004,0,,0.0,0.0,2015,0.0
Alaska,2015-02-01,125881.0,2015,116480.0,108.07091346153845,114607,109.83709546537297,2015,16.0,40.0,0.4,6.0,20.0,0.3,-0.09999999999999998,0.0,-0.2,0.0,0.3933125,1,2015-09-01,0.0,0.0,2015,0.0
Arizona,2015-02-01,1497026.0,2015,1674561.9166666667,89.39806794244643,1492698,100.28994478454449,2015,24.0,60.0,0.4,13.0,30.0,0.43333333333333335,-0.09999999999999998,0.0,-0.06666666666666665,0.0,0.4488125,1,2014-01-01,1.0,0.0,2015,0.0
Arkansas,2015-02-01,831643.0,2015,814276.5,102.13275220395037,761746,109.17589327676154,2015,36.0,100.0,0.36,11.0,35.0,0.3142857142857143,-0.14,0.0,-0.18571428571428572,0.0,0.349125,1,2014-01-01,1.0,0.0,2015,0.0
California,2015-02-01,12189535.0,2015,8751842.0,139.27965107231142,7534254,161.78821420143254,2015,52.0,80.0,0.65,25.0,40.0,0.625,0.15000000000000002,1.0,0.125,1.0,0.61,1,2014-01-01,1.0,0.0,2015,0.0
Colorado,2015-02-01,1227656.0,2015,923013.9166666666,133.00514519147285,820836,149.56166639864722,2015,34.0,65.0,0.5230769230769231,17.0,35.0,0.4857142857142857,0.023076923076923106,1.0,-0.01428571428571429,1.0,0.495875,1,2014-01-01,1.0,0.0,2015,0.0
Connecticut,2015-02-01,722571.0,2015,533909.5833333334,135.33583635806,530145,136.29686217921514,2015,86.0,151.0,0.5695364238410596,20.0,36.0,0.5555555555555556,0.06953642384105962,1.0,0.05555555555555558,1.0,0.56075,1,2014-01-01,1.0,0.0,2015,0.0
Delaware,2015-02-01,237445.0,2015,167850.58333333334,141.4621238035614,165961,143.07277010864,2015,25.0,41.0,0.6097560975609756,12.0,21.0,0.5714285714285714,0.1097560975609756,1.0,0.0714285714285714,1.0,0.5555,1,2014-01-01,1.0,0.0,2015,0.0
Florida,2015-02-01,3436875.0,2015,4746314.583333333,72.41144554700556,4384883,78.3800844857206,2015,38.0,120.0,0.31666666666666665,14.0,40.0,0.35,-0.18333333333333335,0.0,-0.15000000000000002,0.0,0.487625,0,,0.0,0.0,2015,0.0
Georgia,2015-02-01,1761990.0,2015,2463424.0833333335,71.52605237242781,2209726,79.73794036002654,2015,59.0,180.0,0.3277777777777778,18.0,56.0,0.32142857142857145,-0.17222222222222222,0.0,-0.17857142857142855,0.0,0.45325000000000004,0,,0.0,0.0,2015,0.0
Hawaii,2015-02-01,319394.0,2015,206075.75,154.9886388864289,185180,172.47758937250245,2015,44.0,51.0,0.8627450980392157,24.0,25.0,0.96,0.36274509803921573,1.0,0.45999999999999996,1.0,0.6616875,1,2014-01-01,1.0,0.0,2015,0.0
Idaho,2015-02-01,275757.0,2015,370889.25,74.35022719046184,341618,80.72086365472545,2015,14.0,70.0,0.2,7.0,35.0,0.2,-0.3,0.0,-0.3,0.0,0.2965625,1,2020-01-01,0.0,0.0,2015,0.0
Illinois,2015-02-01,3199540.0,2015,2513875.5,127.2751972004978,2253479,141.98224168053042,2015,71.0,118.0,0.6016949152542372,39.0,59.0,0.6610169491525424,0.10169491525423724,1.0,0.1610169491525424,0.0,0.5640625,1,2014-01-01,1.0,0.0,2015,0.0
Indiana,2015-02-01,1233668.0,2015,1382735.25,89.21939322802395,1293314,95.38812693591811,2015,30.0,100.0,0.3,10.0,50.0,0.2,-0.2,0.0,-0.3,0.0,0.406125,1,2015-02-01,1.0,0.0,2015,1.0
Iowa,2015-02-01,576882.0,2015,565071.5,102.09008948425111,533922,108.04611909604773,2015,43.0,100.0,0.43,26.0,50.0,0.52,-0.07,0.0,0.020000000000000018,0.0,0.463625,1,2014-01-01,1.0,0.0,2015,0.0
Kansas,2015-02-01,405431.0,2015,558795.0,72.55451462522035,526814,76.95904057219435,2015,28.0,125.0,0.224,8.0,40.0,0.2,-0.276,0.0,-0.3,0.0,0.3691875,0,,0.0,0.0,2015,0.0
Kentucky,2015-02-01,1121730.0,2015,1120044.9166666667,100.15044783546254,1057085,106.11540226188055,2015,54.0,100.0,0.54,11.0,38.0,0.2894736842105263,0.040000000000000036,1.0,-0.21052631578947367,1.0,0.3493125,1,2014-01-01,1.0,0.0,2015,0.0
Louisiana,2015-02-01,1061494.0,2015,1257045.1666666667,84.44358469750026,1237143,85.80204551939428,2015,43.0,105.0,0.4095238095238095,13.0,39.0,0.3333333333333333,-0.09047619047619049,0.0,-0.16666666666666669,0.0,0.3940625,1,2016-07-01,0.0,0.0,2015,0.0
